run, name, edit distance, time(ms), memory_KB, file1, file2
1, Memoización, 0, 10.118, 34856, files/test1.txt, files/test1.txt
2, Memoización, 0, 10.3472, 34848, files/test1.txt, files/test1.txt
3, Memoización, 0, 10.3993, 34856, files/test1.txt, files/test1.txt
4, Memoización, 0, 10.6555, 34848, files/test1.txt, files/test1.txt
5, Memoización, 0, 10.4005, 34856, files/test1.txt, files/test1.txt
6, Memoización, 0, 10.3808, 34800, files/test1.txt, files/test1.txt
7, Memoización, 0, 10.6414, 34856, files/test1.txt, files/test1.txt
8, Memoización, 0, 10.2095, 34820, files/test1.txt, files/test1.txt
9, Memoización, 0, 10.1053, 34856, files/test1.txt, files/test1.txt
10, Memoización, 0, 10.1333, 34848, files/test1.txt, files/test1.txt
11, Memoización, 0, 10.1204, 34856, files/test1.txt, files/test1.txt
12, Memoización, 0, 10.1113, 34856, files/test1.txt, files/test1.txt
13, Memoización, 0, 10.1371, 34820, files/test1.txt, files/test1.txt
14, Memoización, 0, 10.1506, 34856, files/test1.txt, files/test1.txt
15, Memoización, 0, 10.111, 34808, files/test1.txt, files/test1.txt
16, Memoización, 0, 10.583, 34856, files/test1.txt, files/test1.txt
17, Memoización, 0, 10.108, 34852, files/test1.txt, files/test1.txt
18, Memoización, 0, 10.056, 34848, files/test1.txt, files/test1.txt
19, Memoización, 0, 10.1093, 34816, files/test1.txt, files/test1.txt
20, Memoización, 0, 10.0878, 34824, files/test1.txt, files/test1.txt
21, Memoización, 0, 10.1606, 34856, files/test1.txt, files/test1.txt
22, Memoización, 0, 10.6572, 34848, files/test1.txt, files/test1.txt
23, Memoización, 0, 10.1419, 34804, files/test1.txt, files/test1.txt
24, Memoización, 0, 10.1436, 34856, files/test1.txt, files/test1.txt
25, Memoización, 0, 10.1138, 34852, files/test1.txt, files/test1.txt
26, Memoización, 0, 10.0653, 34856, files/test1.txt, files/test1.txt
27, Memoización, 0, 10.7082, 34848, files/test1.txt, files/test1.txt
28, Memoización, 0, 10.2508, 34852, files/test1.txt, files/test1.txt
29, Memoización, 0, 10.1535, 34856, files/test1.txt, files/test1.txt
30, Memoización, 0, 10.1438, 34852, files/test1.txt, files/test1.txt
1, Memoización, 3672, 91.2479, 66424, files/test1.txt, files/test2.txt
2, Memoización, 3672, 88.5708, 66440, files/test1.txt, files/test2.txt
3, Memoización, 3672, 87.5084, 66436, files/test1.txt, files/test2.txt
4, Memoización, 3672, 90.7828, 66436, files/test1.txt, files/test2.txt
5, Memoización, 3672, 89.5892, 66464, files/test1.txt, files/test2.txt
6, Memoización, 3672, 91.1457, 66472, files/test1.txt, files/test2.txt
7, Memoización, 3672, 87.9699, 66472, files/test1.txt, files/test2.txt
8, Memoización, 3672, 89.1702, 66472, files/test1.txt, files/test2.txt
9, Memoización, 3672, 89.524, 66404, files/test1.txt, files/test2.txt
10, Memoización, 3672, 89.6008, 66432, files/test1.txt, files/test2.txt
11, Memoización, 3672, 87.5705, 66472, files/test1.txt, files/test2.txt
12, Memoización, 3672, 86.9364, 66424, files/test1.txt, files/test2.txt
13, Memoización, 3672, 87.3986, 66464, files/test1.txt, files/test2.txt
14, Memoización, 3672, 90.0775, 66416, files/test1.txt, files/test2.txt
15, Memoización, 3672, 87.9023, 66436, files/test1.txt, files/test2.txt
16, Memoización, 3672, 89.1792, 66440, files/test1.txt, files/test2.txt
17, Memoización, 3672, 85.8366, 66428, files/test1.txt, files/test2.txt
18, Memoización, 3672, 89.4605, 66464, files/test1.txt, files/test2.txt
19, Memoización, 3672, 90.7487, 66440, files/test1.txt, files/test2.txt
20, Memoización, 3672, 87.4592, 66472, files/test1.txt, files/test2.txt
21, Memoización, 3672, 87.2966, 66472, files/test1.txt, files/test2.txt
22, Memoización, 3672, 90.0364, 66436, files/test1.txt, files/test2.txt
23, Memoización, 3672, 89.6981, 66468, files/test1.txt, files/test2.txt
24, Memoización, 3672, 86.8891, 66472, files/test1.txt, files/test2.txt
25, Memoización, 3672, 89.5479, 66472, files/test1.txt, files/test2.txt
26, Memoización, 3672, 88.162, 66436, files/test1.txt, files/test2.txt
27, Memoización, 3672, 88.094, 66420, files/test1.txt, files/test2.txt
